Nome,name,Cargo,Sexo,Partido,ideologia,ColigaCAo,PartidoCol1,PartidoCol2,PartidoCol3,PartidoCol4,PartidoCol5,PartidoCol6,PartidoCol7,SituaCAo,GraudeInstruCAo,OcupaCAo,OcupaCAoComplementar,EstadoCivil,DatadeNascimento,Cadeiras_por_estado,NUmerodoCandidato,migrant1,n_mudan1,senti11,Vereador,DepEstadual,CargExecEletivoSubNacional,CargExecEletivoNacional,CargExecNEletivoSubNacional,CargExexNEletivoNacional,PresidenteEstatal,Senado,Suplente,Idade,Escandalo,Identidade_religiosa,Migrante,n_mudanC,sentid1,GrupoEtario,MacroregiOes,Cargo_ComissAo,coalgov,UF,pobreza,votos02,votos06,aumevot0206,Eleito,ReeleiCAo,mesa,lideranC,dimivot0206,escandalo2,reeleito,mensalao,sangues,temsuper,votes,list.uf,list.coli,poverty.state,support,pork,despesa
ABDELAZIZ ABOUD SANTOS,AZIZ,Deputado Federal,Masculino,PDT,0,PDT / PPS / PAN,PDT,PPS,PAN,NA,NA,NA,NA,Deferido,Superior completo,Economista,Outros,Separado(a) judicialmente,21-Mar-46,18,1212,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,60,NAo,NA,NAo,NA,NA,51 a 65 anos,Nordeste,NA,"indepentes (pps, pdt, pv)",MA,0.54,NA,170008,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,28597.07
ABEL FARIA DE SOUZA,ABEL DE SOUZA,Deputado Federal,Masculino,PMN,1,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Ensino MEdio completo,Outros,Outros,Casado(a),13-Aug-56,53,3301,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,50,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,pequenos partidos,MG,0.25,NA,55337,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,0
ABEL MAGALHAES,DR. ABEL MAGALHAES,Deputado Federal,Masculino,PAN,2,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Advogado,Outros,Divorciado(a),22-Feb-52,70,2652,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,54,NAo,NA,NAo,NA,NA,51 a 65 anos,Sudeste,NA,pequenos partidos,SP,0.14,NA,205212,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,324.45
ABELARDO LUIZ LUPION MELLO,LUPION,Deputado Federal,Masculino,PFL,2,PPS / PFL,PPS,PFL,NA,NA,NA,NA,NA,Deferido,Superior incompleto,Pecuarista,Outros,Casado(a),25-Aug-52,30,2505,NAo,NA,NA,NAo,NAo,NAo,NAo,NAo,NAo,SI,NAo,NAo,54,NAo,NA,NAo,NA,NA,51 a 65 anos,Sul,2_ Vice-Presidente,"oposiCAo (pfl, psdb)",PR,0.18,121720,122861,1,Sim,Sim,NAo Participou,NAo Participou,NA,Nao,Sim,NAo,NAo,0,NA,NA,NA,NA,NA,NA,781470
ABELMIDIO DE SA RIBAS,SA RIBAS,Deputado Federal,Masculino,PPS,1,PPS / PFL,PPS,PFL,NA,NA,NA,NA,NA,Deferido,Superior completo,Militar Reformado,Militar da reserva,Casado(a),9-Jun-52,30,2322,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,54,NAo,NA,NAo,NA,NA,51 a 65 anos,Sul,NA,"indepentes (pps, pdt, pv)",PR,0.18,NA,187427,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,38000
ABISOLON PEREIRA DE OLIVEIRA,SARGENTO ABISOLON,Deputado Federal,Masculino,PT do B,2,PRP / PT do B,PRP,PT do B,NA,NA,NA,NA,NA,Deferido,Ensino Fundamental incompleto,Policial Militar,Militar da ativa,Casado(a),12-Aug-51,39,7010,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,55,NAo,NA,NAo,NA,NA,51 a 65 anos,Nordeste,NA,pequenos partidos,BA,0.473,NA,153302,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
ABMAEL ESSER BEZERRA RIBEIRO NETO,ABMAEL ESSER,Deputado Federal,Masculino,PDT,0,PDT / PPS / PAN,PDT,PPS,PAN,NA,NA,NA,NA,Deferido,Ensino MEdio completo,ComerciArio,Outros,Casado(a),21-Jul-62,18,1258,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,44,NAo,NA,NAo,NA,NA,41 a 50 anos,Nordeste,NA,"indepentes (pps, pdt, pv)",MA,0.54,NA,114709,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,2173.22
ABNER DE NER DINO PEDRA,DINO,Deputado Federal,Masculino,PMDB,1,PT / PMDB / PRB / PC do B,PT,PMDB,PRB,PC do B,NA,NA,NA,Indeferido com recurso,Superior incompleto,Representante Comercial,Outros,Casado(a),4-Jun-62,53,1567,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,44,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",MG,0.25,NA,61440,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
ABRAHAM NISSIM BENOLIEL,NISSIM BENOLIEL,Deputado Federal,Masculino,PDT,0,Sem ColigaCAo,NA,NA,NA,NA,NA,NA,NA,Deferido,Superior completo,Advogado,Outros,Solteiro(a),13-Dec-64,8,1210,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,41,NAo,NA,NAo,NA,NA,41 a 50 anos,Norte,NA,"indepentes (pps, pdt, pv)",AM,0.418,NA,42738,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,1,NA,NA,NA,NA,NA,NA,9057.23
ABRAHAO HISSA SAFAR NETO,ABRAHAO HISSA,Deputado Federal,Masculino,PTB,2,PP / PTB / PL / PFL / PAN / PSDB,PP,PTB,PL,PFL,PAN,PSDB,NA,Deferido,Superior incompleto,EmpresArio,Outros,Casado(a),12-Oct-59,53,1423,NAo,NA,NA,SI,SI,SI,SI,SI,SI,SI,SI,NA,46,NAo,NA,NAo,NA,NA,41 a 50 anos,Sudeste,NA,"coalizAo de governo (pt, psb, pcdob, ptb, pl,pp, pmdb)",MG,0.25,NA,63032,NA,NAo,Nao,NA,NA,NA,Nao,88,NAo,NAo,0,NA,NA,NA,NA,NA,NA,NA
